Feature,Importance,Importance_%
Birth_Weight_kg,0.19527873497642945,19.53
Followup_Appointment_Given,0.19203597655827567,19.2
Gestational_Age_Weeks,0.19128455380967707,19.13
Duration_of_Initial_Stay_Days,0.10232605696776925,10.23
ANC_Attendance_Visits,0.09788928925276176,9.79
Discharge_Condition,0.09372652253164959,9.37
Apgar_5min,0.04662759012729746,4.66
Sex_of_Neonate,0.023024335351122367,2.3
Maternal_Age,0.019260300411665664,1.93
Feeding_Type_at_Discharge,0.013909560535524336,1.39
Parity,0.012821552622191068,1.28
Mode_of_Delivery,0.011815526855636287,1.18
